barcode,name_en,name_ar,category,price,stock_quantity,is_active
6625000237030,"Al Atbaa Frozen Shredded Mozzarella Cheese","Al Atbaa Frozen مبشور موزاريلا جبنة","Dairy & Eggs | Mozzarella Cheese",125.00,100,active
6224000514556,"Alwaha Fridge Bags (40x25cm)","Alwaha Fridge Bags (40x25cm)","Others | Needs Review",27.00,100,active
8006540502877,"Always Maxi Thick Long Pads with Wings","Always Maxi Thick Long Pads With Wings","Personal Care | Feminine Hygiene",40.00,100,active
6223000555613,"Bake Rolz Butter & Herbs Wheat Snacks","Bake Rolz زبدة & Herbs Wheat Snacks","Chips & Snacks | Wheat Snacks",12.00,100,active
6223000553091,"Bake Rolz Firey Cheese Wheat Snacks","Bake Rolz Firey جبنة Wheat Snacks","Chips & Snacks | Wheat Snacks",12.00,100,active
6223000555057,"Bake Rolz Ketchup Wheat Snacks - hydrogenated fats free","Bake Rolz Ketchup Wheat Snacks - Hydrogenated Fats Free","Chips & Snacks | Wheat Snacks",12.00,100,active
6223000552087,"Bake Rolz Pizza Wheat Snacks","Bake Rolz Pizza Wheat Snacks","Chips & Snacks | Wheat Snacks",17.00,100,active
6223000555576,"Bake Rolz Salt & Vinegar Wheat Snacks - hydrogenated fats free","Bake Rolz Salt & Vinegar Wheat Snacks - Hydrogenated Fats Free","Chips & Snacks | Wheat Snacks",12.00,100,active
6223000555552,"Bake Rolz Salted Wheat Snacks","Bake Rolz Salted Wheat Snacks","Chips & Snacks | Wheat Snacks",12.00,100,active
6223000559352,"Bake Rolz Sweet Black Pepper Flavor Wheat Snacks","Bake Rolz Sweet أسود فلفل Flavor Wheat Snacks","Chips & Snacks | Wheat Snacks",17.00,100,active
6223000555590,"Bake Rolz Sweet Chili Wheat Snacks - hydrogenated fats free","Bake Rolz Sweet شطة Wheat Snacks - Hydrogenated Fats Free","Chips & Snacks | Wheat Snacks",12.00,100,active
6223000556894,"Bake Rolz Wheat Snacks Spicy Lime Flavor","Bake Rolz Wheat Snacks Spicy Lime Flavor","Chips & Snacks | Wheat Snacks",12.00,100,active
6223000556870,"Bake Rolz Wheat Snacks Thyme Flavor","Bake Rolz Wheat Snacks Thyme Flavor","Chips & Snacks | Wheat Snacks",12.00,100,active
6222035210115,"Balance Oven Baked 15g Protein Sour Cream & Onion Crackers","Balance Oven Baked 15g Protein Sour Cream & Onion Crackers","Chips & Snacks | Protein Snacks",17.00,100,active
6222035206088,"Balance Oven Baked 15g Protein Sweet Chili Crackers","Balance Oven Baked 15g Protein Sweet شطة Crackers","Chips & Snacks | Protein Snacks",17.00,100,active
6222035235293,"Balance Oven Baked Sweet Cheese 15g Protein Puffs","Balance Oven Baked Sweet جبنة 15g Protein Puffs","Chips & Snacks | Protein Snacks",17.00,100,active
6222035235309,"Balance Oven Baked Sweet Heat 15g Protein Puffs","Balance Oven Baked Sweet Heat 15g Protein Puffs","Chips & Snacks | Protein Snacks",17.00,100,active
6224002781055,"Bebeto Sour Candy Sticks Apple Flavor - vegetarian","Bebeto Sour Candy Sticks Apple Flavor - Vegetarian","chocolates & candies | Jelly & Gummy Candies",15.00,100,active
6224002781024,"Bebeto Sour Candy Sticks Cola Flavor - vegetarian","Bebeto Sour Candy Sticks Cola Flavor - Vegetarian","chocolates & candies | Jelly & Gummy Candies",15.00,100,active
6224002781031,"Bebeto Sour Candy Sticks Watermelon Flavor - vegetarian","Bebeto Sour Candy Sticks Watermelon Flavor - Vegetarian","chocolates & candies | Jelly & Gummy Candies",15.00,100,active
6222035229391,"Big Chips Kettle Cooked Classic Potato Chips - gluten free","Big Chips Kettle Cooked Classic Potato Chips - Gluten Free","Chips & Snacks | Flavored Potato Chips",20.00,100,active
